"","text"
"1",""
"2","ayo temanteman kita mendownload  karena aplikasi ini membuat aku senang aku senang sekali membuka paketpaket yang sudah datang dengan aku sudah membeli banyak di rumah assalamualaikum warahmatullahi wabarakatuh"
"3",""
"4",""
"5",""
"6","aku kasih bintang  deh mudahmudahan cepet dapet spaylater jadi biar tambah semangat belanja "
"7","baabi emng aplikasi ini penipuan setiap  punya uang selalu dihabiskan oleh aplikasi ini karena  pake buat belanja"
"8",""
"9",""
"10",""
"11","aplikasi ini jelek banget tapi boong"
"12","shoope produk  sangat memuaskan bangeettempat belanja online terpercaya nomer  di indonesia"
"13","semua barang lumayan murah bagus bagus lagi  bisa dijual kembali dikampung halaman "
"14",""
"15","pling markotop menu yg simpel  mudah untuk pembeli mencari barang yang akan di order good luck lha buat  "
"16","ok bagus   sangat suka klu dapat gratis ongkir karena  sering belanja di shopeethe best lah "
"17","aplikasi belanja yg paling lengkap  terpercaya shopi paling top selalu memberi diskon bahkan geratis ongkir"
"18",""
"19",""
"20",""
"21",""
"22",""
"23","sering  selalu puas sih belanja disini deskripsi  jelas plus review  sebagai bahan pertimbangan"
"24","aplikasi  keren  ringan jadi pengen buka terus aplikasi   permudah buat kita belanja online ditambah lagi diskon  free kirim"
"25","kenapa  sulit untuk mengirim pesan terhadap penjualdari kemarin trus mengirimkan tapi tidak bisa terkirim"
"26",""
"27","shope tuh mengerti segala kebutuhan  jadi makin cinta deh ama shope buat kalian buktikan sendiri "
"28","bagus sekali  memuaskan setiap pembelian barang di  terimakasih shofee"
"29","bisa ga sih min penjual yg suka menipu dlm pengiriman jumlah barang di block gt biar pembeli ga byk yg kecewa"
"30",""
"31","kenapa  kasih bintang lima karna  hampir setengah taun pake aplikasi  rasa  sangat puas  aman aman aja lah sejauh ini smoga berkah aja buat smuanya  dilancarkan seluruh orderan atau bisnis yg ada di  aamiinn"
"32","ok sih tpi kenapa ya limit shoppy paylater  blm balik utuh padahal sudah di lunasi semua sebelum jatuh tempo"
"33",""
"34","aplikasi  ini sangat bagus gara  dapat uang shopeepay k gratis aku gak tau garansinya sampai mana cepat downoad  nanti telat gak bisa dapat uang saku wkwkwkwkwkwkwkwkwk"
"35",""
"36",""
"37","kenapa sih app  ini aku tu jadi ketagihan belanaja terus tauu please banyakin gratis ongkir yahhh  "
"38","terima kasih  allhamdulillah sejak download apk ini sangat bermanfaat untuk berjualan atau berbelanja "
"39","kenapa sy tidak bisa melakukan retur barang pdhl terjadi kesalahan kirim dr pihak toko sy sudah email pihak  mohon segera ditindaklanjuti"
"40","bisa ga sih min penjual yg suka menipu dlm pengiriman jumlah barang di block gt biar pembeli ga byk yg kecewa"
"41"," mantap tapi belum bisa membantu menambah limit pinjmaman padahal  sudah berusaha"
"42",""
"43","sudah lama  pakai shoope mau tanya setiap toko ada tulisan potongan  min belanja  kenapa ya gk bosa dipakai"
"44",""
"45",""
"46",""
"47",""
